date,close,volume,open,high,low
2017/3/30,831.5,1055263,833.5,833.68,829
2017/3/29,831.41,1785006,825,832.765,822.3801
2017/3/28,820.92,1620532,820.41,825.99,814.027
2017/3/27,819.51,1894735,806.95,821.63,803.37
2017/3/24,814.43,1980415,820.08,821.93,808.89
2017/3/23,817.58,3485390,821,822.57,812.257
2017/3/22,829.59,1399409,831.91,835.55,827.1801
2017/3/21,830.46,2461375,851.4,853.5,829.02
2017/3/20,848.4,1217560,850.01,850.22,845.15
2017/3/17,852.12,1712397,851.61,853.4,847.11
2017/3/16,848.78,977384,849.03,850.85,846.13
2017/3/15,847.2,1381328,847.59,848.63,840.77
2017/3/14,845.62,779920,843.64,847.24,840.8
2017/3/13,845.54,1149928,844,848.685,843.25
